KalturaID,Name,Broadcast Date,Year,Host,Program Duration,Country,Notes,Transcript
0_39rva1rn,Music Time in Africa August 7 1966,8/7/66,1966,Bryn Poole,,Niger,,
0_2rkv65gg,Music Time in Africa September 11 1966,9/11/66,1966,Bryn Poole,,Tanzania,,
0_4rw7cvqi,Music Time in Africa October 30 1966,10/30/66,1966,Bryn Poole,27:46:00,"Republic of the Congo, Zambia",,
0_156g5hup,Music Time in Africa March 26 1967,3/26/67,1967,Bryn Poole,28:35:00,"Morocco, Algeria, Tunisia",,
0_o48oo8b4,Music Time in Africa April 2 1967,4/2/67,1967,Bryn Poole,5:51,South Africa,,
0_br6taadg,Music Time in Africa May 14 1967,5/14/67,1967,Bryn Poole,21:55,Nigeria,,
0_jemt4emh,Music Time in Africa June 4 1967,6/4/67,1967,Bryn Poole,26:40:00,"Mozambique, Zambia, Botswana, Malawi",,
0_07doall4,Music Time in Africa August 13 1967,8/13/67,1967,Bryn Poole,27:44:00,"Malawi, Zimbabwe, South Africa, Mozambique",,
0_904xyxwg,Music Time in Africa February 25 1968,2/25/68,1968,Bryn Poole,,South Africa,,
0_ndzxum24,Music Time in Africa March 10 1968,3/10/68,1968,Bryn Poole,,Zambia,,
0_r0av5l3o,Music Time in Africa July 28 1968,7/28/68,1968,Bryn or Sue,23:50,"Uganda, Republic of the Congo, Ivory Coast, Liberia, Guinea",,
0_zobt2he5,Music Time in Africa August 11 1968,8/11/68,1968,Sue Moran,26:43:00,"Mozambique, Zambia, Botswana, Malawi, Tanzania",,
0_ws0j7hcg,Music Time in Africa September 1 1968,9/1/68,1968,,31:39:00,Uganda,,
0_w69kjf1d,Music Time in Africa September 8 1968,9/8/68,1968,Sue Moran,18:39,Niger,,
0_vh1l6r4c,Music Time in Africa September 29 1968,9/29/68,1968,Sue Moran,22:37,"Zimbabwe, Mozambique, South Africa",,
0_tuf8y2tf,Music Time in Africa October 27 1968,10/27/68,1968,Sue Moran,21:00,Nigeria,,
0_e6tdgg1n,Music Time in Africa November 17 1968,11/17/68,1968,Sue Moran,31:13:00,Senegal,,
0_kkma1qn1,Music Time in Africa December 1 1968,12/1/68,1968,Sue Moran,24:42:00,"Rwanda, Uganda",,
0_q6922jdl,Music Time in Africa December 8 1968,12/8/68,1968,Sue Moran,21:57,Liberia,,
0_1m36zmxf,Music Time in Africa December 22 1968,12/22/68,1968,Sue Moran,31:32:00,Benin,,
0_c1jk0xqi,Music Time in Africa December 29 1968,12/29/68,1968,Sue Moran,27:29:00,"Morocco, Algeria, Tunisia",,
0_g7xctcxm,Music Time in Africa January 5 1969,1/5/69,1969,Sue Moran,26:31:00,Zambia,,
0_xm2nrwvl,Music Time in Africa January 19 1969,1/19/69,1969,Sue Moran,25:40:00,Lesotho,,
0_6putxlf0,Music Time in Africa January 26 1969,1/26/69,1969,Sue Moran,26:39:00,Uganda,,
0_pzn6tqug,Music Time in Africa February 2 1969,2/2/69,1969,Sue Moran,25:43:00,Kenya,,
0_v4vlvwrn,Music Time in Africa February 9 1969,2/9/69,1969,Sue Moran,27:57:00,"Republic of the Congo, Zambia",,
0_r6v9b10a,Music Time in Africa March 9 1969,3/9/69,1969,Sue Moran,24:20:00,Tanzania,,
0_85uhoeph,Music Time in Africa March 16 1969,3/16/69,1969,Sue Moran,26:58:00,Tanzania,,
0_gh95fsdl,Music Time in Africa March 23 1969,3/23/69,1969,Sue Moran,26:22:00,Republic of the Congo,,
0_3uom5qhm,Music Time in Africa March 30 1969,3/30/69,1969,Sue Moran,31:29:00,Ivory Coast,,
0_e9ymb8fv,Music Time in Africa November 2 1969,11/2/69,1969,Sue Moran,24:40:00,Cameroon,,
0_s985g89d,Music Time in Africa December 28 1969,12/28/69,1969,Sue Moran,,Ethiopia,,
0_a6hvobn2,Music Time in Africa January 5 1970,1/5/70,1970,Sue Moran,14:12,Niger,,
0_w0y2jcgb,Music Time in Africa February 1 1970,2/1/70,1970,Sue Moran,24:04:00,Republic of the Congo,,
0_nf9aa0k8,Music Time in Africa February 8 1970,2/8/70,1970,Sue Moran,31:40:00,Zambia,,
0_2drpyw1h,Music Time in Africa February 22 1970,2/22/70,1970,Sue Moran,,Guinea,,
0_j6ebzzov,Music Time in Africa March 1 1970,3/1/70,1970,Sue Moran,25:48:00,Mozambique,,
0_i4l8rspz,Music Time in Africa March 8 1970,3/8/70,1970,Sue Moran,,Uganda,,
0_2fvxto9n,Music Time in Africa March 15 1970,3/15/70,1970,Sue Moran,14:11,Cameroon,,
0_sf3hmx2y,Music Time in Africa September 13 1970,9/13/70,1970,Sue Moran,26:52:00,Guinea,,
0_b33w4031,Music Time in Africa October 4 1970,10/4/70,1970,Sue Moran,,Benin,,
0_wlpua1p4,Music Time in Africa November 8 1970,11/8/70,1970,Sue Moran,,SIerra Leone,,
0_hpk5lizh,Music Time in Africa November 29 1970,11/29/70,1970,Sue Moran,26:55:00,"Kenya, Morocco, Ethiopia",,
0_coevbrpo,Music Time in Africa July 18 1971,7/18/71,1971,Sue Moran,28:36:00,Sudan,,
